"order_number","order_date","order_year","customer_key","customer_name","gender","birthday","age","store_key","country","state","order_revenue","order_profit","total_quantity"
"367023",2016-01-02,2016,129318,Victoria Courtney,Female,1976-08-08,50,2,Australia,Northern Territory,1970.00,1064.04,7
"367024",2016-01-02,2016,1713253,Tom David,Male,1989-06-09,37,50,United States,Kansas,15367.00,10275.58,13
"367025",2016-01-02,2016,1736623,Ellen Jamison,Female,1965-01-14,61,56,United States,New Hampshire,315.28,164.79,6
"367026",2016-01-02,2016,1836599,Jonathan Johnson,Male,2001-04-10,25,53,United States,Montana,280.53,139.54,3
"367027",2016-01-02,2016,1482586,Edna Gilmer,Female,1948-12-18,78,53,United States,Montana,307.45,161.56,6
"367028",2016-01-02,2016,607356,Fanette Michaud,Female,1989-07-06,37,0,Online,Online,487.97,248.58,4
"367029",2016-01-02,2016,1260533,Laura Echevarria,Female,1996-11-05,30,66,United States,Wyoming,3399.99,1675.58,8
"367030",2016-01-02,2016,1843882,Gloria Stewart,Female,1973-10-13,53,51,United States,Maine,1479.83,725.38,8
"367031",2016-01-02,2016,909014,Tegan Macdonald,Female,1954-10-19,72,0,Online,Online,1493.87,732.26,9
"368000",2016-01-03,2016,892838,Ari�n van Aggelen,Male,1953-09-30,73,32,Netherlands,Flevoland,189.00,102.09,1
"368001",2016-01-03,2016,1670789,David Hamlin,Male,1960-12-10,66,64,United States,Washington DC,173.64,93.78,3
"369000",2016-01-04,2016,1143828,Joel Miah,Male,1947-03-24,79,37,United Kingdom,Ayrshire,1536.00,752.92,10
"369001",2016-01-04,2016,269337,Eddie Morejon,Male,1995-10-24,31,8,Canada,Newfoundland and Labrador,1134.96,746.71,5
"369002",2016-01-04,2016,258316,Sean Borunda,Male,1965-04-30,61,8,Canada,Newfoundland and Labrador,159.99,86.42,1
"369004",2016-01-04,2016,1389462,Gary Quiles,Male,2001-05-17,25,65,United States,West Virginia,1939.92,977.86,8
"369005",2016-01-04,2016,1866637,Douglas McCampbell,Male,1964-12-01,62,56,United States,New Hampshire,327.00,176.61,3
"369006",2016-01-04,2016,734605,Lorna Longo,Female,1965-11-26,61,28,Italy,Caltanissetta,129.00,69.68,1
"369007",2016-01-04,2016,571622,Sven Schulze,Male,1986-02-08,40,20,Germany,Brandenburg,1177.18,694.30,7
"369011",2016-01-04,2016,1664824,Barbara Hawkins,Female,1954-06-24,72,0,Online,Online,73.98,36.26,2
"369012",2016-01-04,2016,1696695,Virgil Rowland,Male,2001-10-07,25,0,Online,Online,3046.91,1943.97,12
"370000",2016-01-05,2016,2032025,Michalina Wieczorek,Female,1968-04-17,58,51,United States,Maine,6867.86,4513.86,10
"370001",2016-01-05,2016,1884908,Eric Ellis,Male,1953-12-03,73,61,United States,South Carolina,2777.98,1500.48,13
"370003",2016-01-05,2016,2092033,Mathew Forbes,Male,1995-10-07,31,66,United States,Wyoming,892.20,475.51,11
"370004",2016-01-05,2016,1473090,Charmaine Lynn,Female,1984-11-24,42,43,United States,Alaska,119.98,58.82,2
"370005",2016-01-05,2016,584095,Markus Duerr,Male,1936-10-12,90,24,Germany,Hessen,619.94,407.42,6
"370006",2016-01-05,2016,661636,Nadine Charpentier,Female,1945-09-22,81,16,France,Limousin,41.70,20.46,6
"370007",2016-01-05,2016,623659,Kari LaGrande,Female,1979-08-12,47,15,France,La Réunion,1332.80,653.30,8
"370008",2016-01-05,2016,183264,Thomas Luscombe,Male,1964-01-20,62,4,Australia,Tasmania,1475.00,986.30,1
"370010",2016-01-05,2016,1393738,Jose Cline,Male,1982-08-02,44,48,United States,Idaho,6306.39,3101.76,15
"370011",2016-01-05,2016,1522590,Mary Ryan,Female,1948-03-13,78,47,United States,Hawaii,510.00,341.02,2
"370012",2016-01-05,2016,1780669,Herbert Petersen,Male,1969-12-06,57,53,United States,Montana,78.63,50.81,5
"370013",2016-01-05,2016,5097,Bella Foley,Female,1942-11-13,84,6,Australia,Western Australia,43.14,21.14,2
"370014",2016-01-05,2016,1475886,Michael Tapia,Male,1954-03-06,72,51,United States,Maine,1930.76,1288.78,5
"371000",2016-01-06,2016,728834,Gabriella  Marcelo,Female,1998-01-31,28,30,Italy,Pesaro,81.10,43.80,2
"371001",2016-01-06,2016,76021,Jett Moncrieff,Male,1960-07-26,66,2,Australia,Northern Territory,1876.85,1240.39,11
"371002",2016-01-06,2016,1955971,Desimir Stanic,Male,2001-10-25,25,53,United States,Montana,2400.17,1296.42,7
"371003",2016-01-06,2016,778259,Gina Russo,Female,1960-05-26,66,28,Italy,Caltanissetta,4546.73,2361.80,21
"371004",2016-01-06,2016,1378439,Maria Reid,Female,1992-07-27,34,0,Online,Online,544.00,293.84,8
"371005",2016-01-06,2016,1923558,Sabina Bilic,Female,1995-01-21,31,48,United States,Idaho,1941.00,1270.04,8
"371006",2016-01-06,2016,1501383,William Romriell,Male,1995-10-11,31,0,Online,Online,14.99,7.35,1
"371007",2016-01-06,2016,1378439,Maria Reid,Female,1992-07-27,34,0,Online,Online,9.99,4.90,1
"371008",2016-01-06,2016,2053617,Sanna Lundeby,Female,1968-11-15,58,50,United States,Kansas,1698.00,1114.20,8
"371010",2016-01-06,2016,1716584,Bill Smith,Male,1976-09-08,50,53,United States,Montana,213.57,109.13,12
"371011",2016-01-06,2016,776266,Giorgio Ferrari,Male,1973-11-04,53,0,Online,Online,2601.47,1511.58,13
"371012",2016-01-06,2016,363872,Sylvia Crabtree,Female,1988-10-22,38,8,Canada,Newfoundland and Labrador,3086.62,2039.32,5
"371014",2016-01-06,2016,1161615,Dominic Sykes,Male,1980-04-19,46,40,United Kingdom,Dungannon and South Tyrone,1586.96,934.30,7
"371015",2016-01-06,2016,1669745,James Anderson,Male,1961-09-09,65,0,Online,Online,2707.49,1702.73,11
"371016",2016-01-06,2016,879778,Floris-Jan Logtenberg,Male,1971-01-21,55,32,Netherlands,Flevoland,13.98,6.86,2
"371017",2016-01-06,2016,1918687,Ione Garrido,Male,1982-09-16,44,61,United States,South Carolina,874.94,448.85,6
"371018",2016-01-06,2016,1041466,Harvey Lee,Male,1968-05-19,58,36,United Kingdom,Armagh,3958.47,2322.90,21
"371019",2016-01-06,2016,916074,Hollie Lee,Female,1939-08-14,87,41,United Kingdom,Fermanagh,1628.35,905.79,7
"372000",2016-01-07,2016,1413890,Jena Zimmerman,Female,1999-01-14,27,0,Online,Online,8802.66,5870.88,7
"372001",2016-01-07,2016,1412534,Cora Brown,Female,1949-11-24,77,63,United States,Utah,98.66,49.39,4
"372002",2016-01-07,2016,1718240,David Senn,Male,1986-11-07,40,47,United States,Hawaii,175.00,94.50,7
"372003",2016-01-07,2016,527409,Frank Bauer,Male,1976-04-14,50,19,Germany,Berlin,2179.91,1217.77,9
"372004",2016-01-07,2016,711449,Amina Pagnotto,Female,1955-04-03,71,30,Italy,Pesaro,8.55,4.23,9
"372005",2016-01-07,2016,302130,Scott Ramirez,Male,1992-04-12,34,9,Canada,Northwest Territories,7451.56,4217.31,31
"372006",2016-01-07,2016,2095742,Michelle Kr�ger,Female,1942-08-03,84,0,Online,Online,286.80,140.58,2
"372007",2016-01-07,2016,1982994,Jana Brychtov�,Female,1972-10-14,54,61,United States,South Carolina,1688.00,827.40,4
"372008",2016-01-07,2016,1214363,William Gonzalez,Male,1985-09-06,41,53,United States,Montana,113.99,61.32,2
"372010",2016-01-07,2016,784075,Gustava Palerma,Female,1967-05-07,59,29,Italy,Enna,1049.93,702.10,7
"372011",2016-01-07,2016,739625,Caterina Lettiere,Female,1955-12-06,71,29,Italy,Enna,57.99,31.32,1
"372012",2016-01-07,2016,195521,Mitchell Saville,Male,1977-05-24,49,6,Australia,Western Australia,3678.98,1987.10,15
"372013",2016-01-07,2016,1042966,Sebastian Franklin,Male,1977-04-04,49,38,United Kingdom,Belfast,79.98,39.20,2
"372016",2016-01-07,2016,1170323,Kieran Howarth,Male,1964-09-12,62,42,United Kingdom,North Down,502.71,324.59,5
"373000",2016-01-08,2016,1367439,Tammy Overall,Female,1999-05-27,27,0,Online,Online,639.18,425.22,6
"373002",2016-01-08,2016,1750554,Toni Morel,Female,1990-08-18,36,48,United States,Idaho,9094.50,4912.25,5
"373003",2016-01-08,2016,2082534,Sergiusz Duda,Male,1982-08-08,44,56,United States,New Hampshire,77.07,37.77,3
"373004",2016-01-08,2016,460587,Torsten Weisz,Male,1994-02-09,32,24,Germany,Hessen,1796.40,1201.23,3
"373005",2016-01-08,2016,1763365,Patricia McCray,Female,1998-04-06,28,65,United States,West Virginia,1786.00,1040.26,3
"373007",2016-01-08,2016,351747,Irene Lee,Female,1986-11-05,40,0,Online,Online,1939.98,1034.88,9
"373008",2016-01-08,2016,536845,Barbara B�rger,Female,1968-09-04,58,23,Germany,Hamburg,2211.47,1155.88,11
"373009",2016-01-08,2016,1064519,Matilda Dobson,Female,1956-02-02,70,0,Online,Online,39.96,19.60,4
"373010",2016-01-08,2016,538801,Christine Kluge,Female,2000-10-25,26,27,Germany,Sachsen-Anhalt,2889.94,1629.60,16
"373011",2016-01-08,2016,82415,Zac McColl,Male,1961-12-31,65,4,Australia,Tasmania,439.90,215.62,2
"374000",2016-01-09,2016,1971983,Lucas Ackerman,Male,1945-03-28,81,48,United States,Idaho,1524.10,847.16,14
"374001",2016-01-09,2016,2050933,Veronika Lovric,Female,1959-04-10,67,47,United States,Hawaii,748.00,463.02,2
"374002",2016-01-09,2016,320030,Sandra Seymore,Female,1966-06-05,60,8,Canada,Newfoundland and Labrador,3012.90,1548.83,20
"374003",2016-01-09,2016,1188400,Eva Henry,Female,1950-08-26,76,38,United Kingdom,Belfast,159.99,86.42,1
"374005",2016-01-09,2016,239647,Jane Matthews,Female,1937-01-26,89,8,Canada,Newfoundland and Labrador,864.00,423.50,2
"374006",2016-01-09,2016,1387959,Christine Abernathy,Female,1945-01-30,81,65,United States,West Virginia,1314.00,878.64,6
"374007",2016-01-09,2016,800548,Johnathan Dubbink,Male,1956-10-20,70,31,Netherlands,Drenthe,37.98,20.52,3
"374008",2016-01-09,2016,789641,Leo Beneventi,Male,1969-03-01,57,29,Italy,Enna,2224.00,1201.28,4
"374009",2016-01-09,2016,728541,Noemi Sabbatini,Female,1986-01-10,40,30,Italy,Pesaro,297.00,145.59,3
"374010",2016-01-09,2016,665776,Mavise Rochefort,Female,1984-10-28,42,12,France,Basse-Normandie,5515.20,3382.89,24
"374011",2016-01-09,2016,174622,Jackson Glenny,Male,1982-01-07,44,5,Australia,Victoria,159.92,78.40,8
"374012",2016-01-09,2016,1758208,Christopher Lopp,Male,1995-05-12,31,0,Online,Online,725.07,355.41,8
"374013",2016-01-09,2016,733080,Principio Ferri,Male,1968-04-11,58,29,Italy,Enna,6089.00,3457.84,21
"374015",2016-01-09,2016,1451748,Sarah Olmos,Female,1946-03-27,80,55,United States,Nevada,930.93,502.81,7
"374016",2016-01-09,2016,1535357,Elizabeth Williams,Female,1986-03-20,40,45,United States,Connecticut,299.95,147.05,5
"374017",2016-01-09,2016,1558964,Darren Hanson,Male,1982-07-01,44,63,United States,Utah,22.89,15.31,1
"374018",2016-01-09,2016,1010049,Owen Brooks,Male,1981-06-29,45,38,United Kingdom,Belfast,1809.93,1163.99,7
"374019",2016-01-09,2016,193216,Hamish Bettington,Male,1998-11-05,28,6,Australia,Western Australia,1308.60,875.04,3
"375000",2016-01-10,2016,1084570,Leon Harper,Male,1997-09-19,29,0,Online,Online,1065.94,710.58,9
"376000",2016-01-11,2016,1862500,Elizabeth Turner,Female,1967-02-22,59,43,United States,Alaska,25.69,12.59,1
"376001",2016-01-11,2016,813685,Thamar Kaagman,Female,1979-06-15,47,32,Netherlands,Flevoland,459.99,271.88,2
"376003",2016-01-11,2016,797322,Quintiliano Padovano,Male,1993-01-08,33,30,Italy,Pesaro,4360.00,2296.49,10
"376004",2016-01-11,2016,1905050,Rodrigo Azevedo,Male,2001-02-20,25,45,United States,Connecticut,137.34,91.86,6
"376005",2016-01-11,2016,305321,Wilbur Clay,Male,2000-05-03,26,8,Canada,Newfoundland and Labrador,4013.87,2102.47,11
"377000",2016-01-12,2016,1589958,Eric Johnson,Male,1935-08-02,91,64,United States,Washington DC,3852.95,2499.14,21
"377002",2016-01-12,2016,1897822,Jessie Waddy,Female,1945-09-18,81,50,United States,Kansas,255.72,144.02,4
"377003",2016-01-12,2016,1129200,Ellis Davidson,Male,1942-12-27,84,40,United Kingdom,Dungannon and South Tyrone,1799.94,882.30,6
"377004",2016-01-12,2016,1136143,Molly Manning,Female,1945-09-11,81,42,United Kingdom,North Down,1943.60,1085.49,7
"377005",2016-01-12,2016,1022980,Jake Patel,Male,1985-09-01,41,37,United Kingdom,Ayrshire,9.99,4.90,1
"377006",2016-01-12,2016,934781,Abigail Savage,Female,1939-10-12,87,0,Online,Online,2066.99,1115.59,6
"377007",2016-01-12,2016,86126,Tyler Blackmore,Male,1970-09-04,56,6,Australia,Western Australia,4664.84,3000.60,8
"378000",2016-01-13,2016,1062632,Maya Goodwin,Female,1963-02-12,63,37,United Kingdom,Ayrshire,1766.89,954.39,12
"378001",2016-01-13,2016,1976355,Joel Mullaly,Male,1990-03-03,36,66,United States,Wyoming,126.95,68.29,5
"378002",2016-01-13,2016,1599716,Anthony Sanchez,Male,1999-11-28,27,45,United States,Connecticut,287.00,183.17,2
"378003",2016-01-13,2016,774742,Lodovico Fiorentini,Male,1938-06-06,88,29,Italy,Enna,14759.94,9869.66,14
"378004",2016-01-13,2016,368190,Irma Trujillo,Female,1975-01-14,51,8,Canada,Newfoundland and Labrador,1129.92,609.84,8
"378005",2016-01-13,2016,1470803,Frances Boyd,Female,1944-04-04,82,44,United States,Arkansas,10636.41,6059.98,26
"378006",2016-01-13,2016,917347,Shannon Burgess,Female,1946-11-03,80,38,United Kingdom,Belfast,375.70,184.17,9
"378007",2016-01-13,2016,707089,Prospero Piazza,Male,2000-03-01,26,30,Italy,Pesaro,1157.73,568.40,11
"378008",2016-01-13,2016,1035789,Gracie Boyle,Female,1982-01-31,44,39,United Kingdom,Blaenau Gwent,119.98,64.80,2
"378009",2016-01-13,2016,270736,Raymond Lacy,Male,1944-04-10,82,8,Canada,Newfoundland and Labrador,4075.49,2283.10,9
"378010",2016-01-13,2016,437389,Michelle Reinhard,Female,1965-04-14,61,19,Germany,Berlin,10799.90,6846.86,10
"379000",2016-01-14,2016,1171088,Hayden Gill,Male,1950-03-12,76,39,United Kingdom,Blaenau Gwent,1396.00,754.04,4
"379001",2016-01-14,2016,1165542,Georgina Sullivan,Female,1958-09-18,68,40,United Kingdom,Dungannon and South Tyrone,9432.89,6093.68,25
"379002",2016-01-14,2016,716015,Tarquinio Giordano,Male,1985-06-21,41,0,Online,Online,3643.95,2402.45,7
"379004",2016-01-14,2016,245912,Evelyn Lavender,Female,1959-11-29,67,0,Online,Online,658.00,355.40,2
"379005",2016-01-14,2016,1104029,Harrison Gardiner,Male,1965-07-27,61,37,United Kingdom,Ayrshire,11987.97,7855.69,14
"379008",2016-01-14,2016,793968,Walter Fiorentino,Male,1992-01-14,34,30,Italy,Pesaro,223.84,115.41,4
"379009",2016-01-14,2016,1556602,Dawn Harper,Female,1940-06-16,86,61,United States,South Carolina,3144.00,1698.22,7
"379011",2016-01-14,2016,1291414,Brooke Hanna,Female,1950-11-06,76,48,United States,Idaho,655.48,398.91,8
"380000",2016-01-15,2016,1614172,Lucille Curry,Female,1971-04-30,55,57,United States,New Mexico,1314.47,645.68,8
"380001",2016-01-15,2016,1530756,Robert Fitzmaurice,Male,1949-01-15,77,66,United States,Wyoming,2537.64,1597.41,9
"380003",2016-01-15,2016,627789,Odo Bernard,Male,1963-09-23,63,17,France,Martinique,507.00,339.03,3
"380004",2016-01-15,2016,1909649,Karin Faerber,Female,1989-09-11,37,66,United States,Wyoming,673.78,346.96,4
"380005",2016-01-15,2016,770856,Alessandro Monaldo,Male,1970-05-01,56,30,Italy,Pesaro,3303.55,1784.39,9
"380006",2016-01-15,2016,549983,Paul Ehrlichmann,Male,1981-09-06,45,27,Germany,Sachsen-Anhalt,22399.93,14978.39,7
"381001",2016-01-16,2016,780974,Maurizia Pirozzi,Female,1979-05-19,47,29,Italy,Enna,2367.96,1524.27,4
"381002",2016-01-16,2016,2042097,Tom Kohler,Male,1986-12-19,40,0,Online,Online,55.11,28.11,4
"381003",2016-01-16,2016,1631876,Martha West,Female,1957-04-19,69,61,United States,South Carolina,1025.88,639.70,7
"381004",2016-01-16,2016,1914255,Anthony Bogue,Male,1948-07-10,78,53,United States,Montana,1495.96,748.08,6
"381005",2016-01-16,2016,1803346,Katie Albright,Female,1947-08-17,79,50,United States,Kansas,8990.00,4855.80,10
"381006",2016-01-16,2016,1364334,Timothy Foley,Male,1989-06-07,37,64,United States,Washington DC,200.00,133.74,1
"381007",2016-01-16,2016,1202659,Judith James,Female,1982-07-14,44,48,United States,Idaho,731.14,382.95,16
"381008",2016-01-16,2016,982850,Jade Giles,Female,1945-03-29,81,42,United Kingdom,North Down,140.26,75.76,2
"381009",2016-01-16,2016,1187611,Harriet Read,Female,1941-12-05,85,42,United Kingdom,North Down,3510.00,1895.88,4
"381010",2016-01-16,2016,1554137,Elaine Deason,Female,1991-09-07,35,66,United States,Wyoming,1273.96,670.88,5
"381011",2016-01-16,2016,1302333,Raymond Cole,Male,1950-09-30,76,45,United States,Connecticut,919.00,614.52,1
"381012",2016-01-16,2016,2072376,Claire Kaeppel,Female,2000-05-17,26,0,Online,Online,328.01,219.31,9
"381013",2016-01-16,2016,1984685,Ashley Ruvalcaba,Female,1944-11-28,82,0,Online,Online,1533.89,1023.90,9
"383000",2016-01-18,2016,1768548,Marc McCauley,Male,1944-05-17,82,51,United States,Maine,657.00,439.32,3
"383001",2016-01-18,2016,1584109,Matt Hopkins,Male,1986-01-26,40,61,United States,South Carolina,184.50,99.66,1
"383002",2016-01-18,2016,1650783,Anita Hunt,Female,1973-03-07,53,57,United States,New Mexico,653.40,352.93,4
"383003",2016-01-18,2016,568160,Angelika Meister,Female,1945-08-06,81,19,Germany,Berlin,600.00,401.22,3
"383004",2016-01-18,2016,1670107,Sarah Guillory,Female,1991-10-05,35,59,United States,Oregon,680.69,424.16,7
"384000",2016-01-19,2016,622740,Allyriane Gu�dry,Female,2000-09-04,26,17,France,Martinique,1694.15,838.54,10
"384001",2016-01-19,2016,780674,Fabiano Marchesi,Male,1967-09-03,59,29,Italy,Enna,647.96,317.60,4
"384002",2016-01-19,2016,1263974,Elizabeth Billy,Female,1970-09-06,56,43,United States,Alaska,1837.00,1181.82,3
"384003",2016-01-19,2016,1369624,Sarah Anderson,Female,1998-01-28,28,64,United States,Washington DC,1999.60,980.16,4
"384004",2016-01-19,2016,1316297,Timothy Santillo,Male,1978-07-24,48,0,Online,Online,2136.00,1281.56,8
"384005",2016-01-19,2016,1022895,Nicholas Byrne,Male,1960-06-01,66,37,United Kingdom,Ayrshire,231.52,125.04,4
"384006",2016-01-19,2016,247132,Joyce Davis,Female,1963-04-10,63,9,Canada,Northwest Territories,2958.41,1591.95,11
"384007",2016-01-19,2016,14180,Ava Lockyer,Female,1998-05-14,28,6,Australia,Western Australia,864.78,467.10,5
"385000",2016-01-20,2016,1110691,Anna Knight,Female,1970-04-12,56,0,Online,Online,1608.28,868.71,16
"385002",2016-01-20,2016,844832,Ankje de Kanter,Female,1977-11-12,49,31,Netherlands,Drenthe,1131.90,660.50,4
"385003",2016-01-20,2016,624165,Marcelle Goguen,Female,1994-08-03,32,18,France,Mayotte,2697.00,1456.74,3
"385004",2016-01-20,2016,332332,Todd Flores,Male,1952-05-17,74,8,Canada,Newfoundland and Labrador,149.00,73.04,1
"385005",2016-01-20,2016,1251726,Aaron Taylor,Male,1961-11-21,65,57,United States,New Mexico,447.00,219.12,3
"385006",2016-01-20,2016,724534,Rosarmosario Greece,Male,1936-04-12,90,28,Italy,Caltanissetta,2379.80,1411.39,5
"385007",2016-01-20,2016,1273837,Jose Clark,Male,1954-12-27,72,61,United States,South Carolina,5160.00,3450.40,8
"385008",2016-01-20,2016,667318,Dalmace Duplanty,Female,1976-03-01,50,16,France,Limousin,655.00,353.79,1
"385009",2016-01-20,2016,1720050,Gregory McIntosh,Male,1969-12-26,57,61,United States,South Carolina,1421.52,766.72,6
"385010",2016-01-20,2016,483118,Phillipp Koch,Male,1952-01-23,74,20,Germany,Brandenburg,1473.00,795.60,9
"386000",2016-01-21,2016,748749,Tranquillino Capon,Male,1951-12-10,75,30,Italy,Pesaro,2055.00,1118.10,6
"386001",2016-01-21,2016,1912666,Jana Klusov�,Female,1975-04-13,51,0,Online,Online,618.98,362.48,3
"386002",2016-01-21,2016,1525000,Esther Robison,Female,1998-10-31,28,43,United States,Alaska,1377.00,920.76,3
"386003",2016-01-21,2016,265825,Beatrice Figueroa,Female,1971-07-29,55,8,Canada,Newfoundland and Labrador,159.99,86.42,1
"386004",2016-01-21,2016,2085055,Marc Abrahamsson,Male,1996-03-06,30,45,United States,Connecticut,1293.00,633.78,3
"386005",2016-01-21,2016,345812,Grant Barker,Male,1982-04-11,44,0,Online,Online,656.88,354.80,2
"386006",2016-01-21,2016,348548,John Marshall,Male,1942-12-16,84,10,Canada,Nunavut,707.75,384.55,8
"386008",2016-01-21,2016,2093929,Lucie Hrebackov�,Female,1954-08-10,72,56,United States,New Hampshire,3607.50,1866.23,16
"386009",2016-01-21,2016,522652,Mathias Adler,Male,1976-12-13,50,19,Germany,Berlin,12057.51,6462.78,11
"386010",2016-01-21,2016,1775819,Donald Cornelius,Male,1963-05-15,63,57,United States,New Mexico,4456.11,2399.76,11
"386011",2016-01-21,2016,541598,Julia Faber,Female,1973-06-02,53,0,Online,Online,4473.00,2960.17,11
"387000",2016-01-22,2016,224434,Ora Cousins,Female,1968-11-02,58,0,Online,Online,2324.00,1511.72,12
"387001",2016-01-22,2016,2011796,Ad�la Perutkov�,Female,1982-02-20,44,51,United States,Maine,1496.15,1000.45,5
"387002",2016-01-22,2016,1368025,Ralph Gupton,Male,1942-01-26,84,44,United States,Arkansas,1295.80,695.10,8
"387003",2016-01-22,2016,368610,Monica Fish,Female,1999-06-17,27,8,Canada,Newfoundland and Labrador,7048.72,3890.98,24
"387004",2016-01-22,2016,1307296,John Bradford,Male,1952-08-10,74,53,United States,Montana,884.00,477.51,7
"387005",2016-01-22,2016,938399,Alfie Stephens,Male,2001-05-09,25,36,United Kingdom,Armagh,739.70,381.27,6
"387006",2016-01-22,2016,1616350,Amos Carter,Male,1935-02-06,91,51,United States,Maine,12.99,6.37,1
"387007",2016-01-22,2016,549936,Nadine Osterhagen,Female,1985-08-25,41,24,Germany,Hessen,1624.94,870.69,9
"388000",2016-01-23,2016,97611,James Steinfeld,Male,1967-04-21,59,5,Australia,Victoria,4427.88,2910.54,19
"388001",2016-01-23,2016,1730210,Ralph Wilson,Male,1989-04-30,37,0,Online,Online,56.99,30.78,1
"388002",2016-01-23,2016,962533,Alicia Gregory,Female,1984-09-17,42,36,United Kingdom,Armagh,2237.80,1389.30,4
"388003",2016-01-23,2016,205077,Kathryn Mills,Female,1974-12-04,52,10,Canada,Nunavut,1399.92,936.14,9
"388004",2016-01-23,2016,776431,Lionello Padovano,Male,2000-02-24,26,0,Online,Online,1154.50,726.04,4
"388005",2016-01-23,2016,1893487,Dillon Pigford,Male,1952-06-16,74,55,United States,Nevada,2439.87,1227.95,13
